t,P_a
569.0,89.8386712273
570.0,89.5956164174
571.0,89.5769337399
572.0,89.3798250015
573.0,89.3894464798
574.0,89.370617615
575.0,89.3309359104
576.0,89.4858307996
577.0,89.2988472398
578.0,89.2954530779
579.0,89.2462776151
580.0,89.122730718
581.0,89.1234365305
582.0,89.1193538169
583.0,89.1912279199
584.0,89.2208514733
585.0,80.5517940261
586.0,80.4604481615
587.0,80.0993077493
588.0,80.3436595918
589.0,80.1638127259
590.0,80.0540447554
591.0,79.862272871
592.0,80.0171673591
593.0,80.1035319211
594.0,80.1561811789
595.0,79.9408347137
596.0,79.9027112104
597.0,79.9248139816
598.0,79.8909794376
599.0,79.8837889496
600.0,79.7161491353
601.0,79.6148807564
602.0,79.5004443916
603.0,79.6366782709
604.0,79.3411485042
605.0,79.5219591213
606.0,79.2219162365
607.0,79.253358767
608.0,79.1738638131
609.0,79.342621304
610.0,79.2387426124
611.0,78.9657227086
612.0,79.2180258056
613.0,79.3590314576
614.0,79.2601340924
615.0,79.2713812633
616.0,79.4109204274
617.0,79.3804746756
618.0,79.2021167484
619.0,79.3397094561
620.0,79.1842090228
621.0,79.067256445
622.0,78.9723560891
623.0,79.1572055135
624.0,79.3289248906
625.0,79.057547994
626.0,79.0885412443
627.0,79.0835519643
628.0,79.0530673265
629.0,78.8787506013
630.0,78.7392803011
631.0,78.6713748898
632.0,78.642932508
633.0,78.5214692538
634.0,78.8517125441
635.0,78.566743786
636.0,78.3584232262
637.0,78.3334919268
638.0,78.217249714
639.0,78.2696571877
640.0,78.0748618642
641.0,78.3839345817
642.0,78.0522459385
643.0,77.8447994023
644.0,77.8517671671
645.0,77.9404612701
646.0,77.8139360768
647.0,77.8355060426
648.0,77.6476732944
649.0,77.772919557
650.0,77.801649635
651.0,77.9187320358
652.0,77.8721377675
653.0,77.7412363764
654.0,77.7617681321
655.0,77.5264029434
656.0,77.6708403357
657.0,77.5591743232
658.0,77.2965929361
659.0,77.1833669811
660.0,77.3238052362
661.0,77.3524567667
662.0,77.1445954439
663.0,77.1638284485
664.0,77.1629912068
665.0,77.1764474527
666.0,77.1393981611
667.0,77.2000896795
668.0,76.7880151921
669.0,76.8861150162
670.0,76.6381287879
671.0,76.8326816871
672.0,76.8733730299
673.0,76.992941583
674.0,76.9496836185
675.0,76.7536411536
676.0,76.6357738575
677.0,76.6810991281
678.0,76.7532672192
679.0,76.6828835466
680.0,76.6467021018
681.0,76.5045811098
682.0,76.4600100959
683.0,76.4220349954
684.0,76.5344698162
685.0,76.2604427848
686.0,76.5498073146
687.0,76.5522825993
688.0,76.4900129022
689.0,76.6243330616
690.0,76.9346046428
691.0,76.7427992747
692.0,76.715450677
693.0,76.660855816
694.0,76.7510444355
695.0,76.778413459
696.0,76.7197196438
697.0,76.6784205725
698.0,76.653341219
699.0,76.6199213337
700.0,76.5344870002
701.0,76.4160012216
702.0,76.3519787128
703.0,76.46578532
704.0,76.2613696402
705.0,76.3661836666
706.0,76.2831855579
707.0,76.3054331496
708.0,76.2402420871
709.0,76.2729450356
710.0,76.1074560765
711.0,76.0727950568
712.0,76.0444380566
713.0,75.885782804
714.0,75.8828845555
715.0,75.9529873599
716.0,75.8267776251
717.0,75.8889633472
718.0,75.9264694635
719.0,75.8116720469
720.0,75.8880926392
721.0,75.9112304996
722.0,75.5874633213
723.0,75.760143185
