t,HbO2,HHb,CCO,TOI,SaO2sup
1154.0,-1.3185725502623598,6.299223771144078,-0.6346748333084797,40.85318761242395,0.656294542538
1155.0,-1.7647287552628868,6.739940566006894,-0.6627485423423176,40.350203635944574,0.650069720886
1156.0,-1.8360257904025374,6.807298848745404,-0.666996696806583,40.271220186349936,0.649184168487
1157.0,-1.9742066147935589,6.944185150192951,-0.6758423097027122,40.11524063641104,0.64723500965
1158.0,-2.1711197953492842,7.143461392111142,-0.688910844957775,39.89105369346907,0.6443001629899999
1159.0,-2.339620244773286,7.31736961942557,-0.7004785967753144,39.69770153117153,0.641662536054
1160.0,-2.273557666916872,7.255395297754767,-0.6965074873244836,39.770707131079675,0.6424722225389999
1161.0,-2.312161736553527,7.298684472280144,-0.699479069784513,39.72486286482405,0.641743327779
1162.0,-2.1934929492297073,7.182422022502756,-0.691903153634674,39.858212606154865,0.643375307552
1163.0,-2.1887527753492506,7.179928605357489,-0.6917988298094666,39.862567872733294,0.643362665915
1164.0,-2.4087512081263185,7.406134183342253,-0.7068512686145585,39.61056617242578,0.639950976444
1165.0,-2.425264486478177,7.4290273396635556,-0.708531051160995,39.58900010543725,0.639481676876
1166.0,-2.1026102869434453,7.106706008619099,-0.687344313228033,39.9543033391388,0.6441420268029999
1167.0,-1.916147697524167,6.9171120809386295,-0.6749059893185194,40.166923756189654,0.646949381095
1168.0,-1.993816920587868,6.993129785420592,-0.6798064798872208,40.07969877126485,0.6458874326590001
1169.0,-2.14818771967321,7.148726688443922,-0.6900004855787549,39.90428787108278,0.643611284153
1170.0,-2.122838423920463,7.124127618873139,-0.6884100556424155,39.932661430005716,0.643950873816
1171.0,-2.1975080849106092,7.200891880672259,-0.6934944333469077,39.84713918462178,0.642794904357
1172.0,-2.101793576600798,7.105478195919638,-0.6872531824885204,39.95541442710521,0.644168684597
1173.0,-2.0608323415122882,7.064049057171147,-0.6845339549439788,40.002021158379726,0.644777788055
1174.0,-1.8778807136349869,6.877279836868091,-0.672279302153006,40.21098109997443,0.64755845178
1175.0,-1.6846141488558288,6.6767104022840655,-0.6591231615457354,40.43323968549225,0.650610641462
1176.0,-2.0034146669829553,6.994224900874933,-0.6796530624682422,40.072686740295794,0.646056637912
1177.0,-1.745066505090044,6.7299125639707,-0.6623591873306114,40.36807478522925,0.650002757649
1178.0,-1.8109232861861955,6.7911314492496615,-0.6661897748785452,40.295583423475,0.649221374439
1179.0,-1.8371043962484563,6.813277538552526,-0.6675147704192741,40.267762341767614,0.648990260007
1180.0,-1.7025584480647638,6.672320302259145,-0.6582426721026724,40.423139616429204,0.6511650496220001
1181.0,-1.7971577759269124,6.762390514042437,-0.6639307421632479,40.31801959763098,0.649965341718
1182.0,-1.8700455802316824,6.832212302883754,-0.6683654249775417,40.236825195923366,0.649024614005
1183.0,-1.6443400435726403,6.59936560828401,-0.6531530075300434,40.495867808411155,0.652542703411
1184.0,-1.6551248589946397,6.603353078213466,-0.6532248222812296,40.48676445354692,0.652635904371
1185.0,-1.2988256381791388,6.2338248583542395,-0.6292829101327171,40.89671206228324,0.658252769105
1186.0,-1.6619399978115013,6.5907074254632505,-0.6518821169872442,40.48797050982618,0.653251113913
1187.0,-1.8175132138464676,6.743115053653845,-0.6616120114011657,40.313057550787384,0.651120669445
1188.0,-1.6310870524333154,6.550179736005823,-0.6490158979972274,40.52739057068922,0.654051920252
1189.0,-1.6418041780745014,6.5547187631316035,-0.6491370505554612,40.51807820049579,0.654124639441
1190.0,-1.9423276121511392,6.854754274629158,-0.6684775632980675,40.177562364588624,0.649799071055
1191.0,-1.3820247900528173,6.283662508009847,-0.6315230609058478,40.81783899892538,0.658286339121
1192.0,-1.4755009435796111,6.36826899963625,-0.636658407502614,40.715935887659114,0.657267347133
1193.0,-1.6153442785324614,6.502056487016368,-0.6450360739093699,40.56012871280427,0.655473578444
1194.0,-1.867465774063156,6.752939321377802,-0.6611429146593266,40.27475031504829,0.6518746382399999
1195.0,-1.4709730438120943,6.347941923422283,-0.6349224579963533,40.72836834524313,0.657917973506
1196.0,-1.9514056884298299,6.828896876066565,-0.6658379550721558,40.183186245636115,0.6509538122590001
1197.0,-1.6289296941732374,6.501042386793948,-0.6445637139374285,40.55143531880066,0.6558179432329999
1198.0,-1.4522776839000429,6.315826310108427,-0.6325013882399231,40.755778039619344,0.658686057733
1199.0,-1.6616646474694647,6.520708594583304,-0.6454569297457948,40.520309639840995,0.6558297453090001
1200.0,-1.4177177659787716,6.267870802957802,-0.6290751707743307,40.80118495784149,0.659683314563
1201.0,-1.722481397905078,6.569568392288907,-0.6482548964200177,40.45680059874913,0.655394536273
1202.0,-1.4283771240724334,6.2670623830313446,-0.6286981483189624,40.79439861195603,0.659957333501
1203.0,-1.3678404826772237,6.197158766419214,-0.6239975398250344,40.86743775487511,0.661180952412
1204.0,-1.362948619029524,6.183021683965961,-0.6228374819491733,40.877278460858335,0.661597722123
1205.0,-1.3870085711123679,6.198500852118073,-0.6235711773100701,40.853949049398985,0.661572209447
1206.0,-2.0663292410366694,6.8820094271338235,-0.6675497004084019,40.08093270694563,0.651578749604
1207.0,-1.8110232113620768,6.626174153401465,-0.6509884253442801,40.370964620650604,0.655302520807
1208.0,-1.922323493841425,6.7389784705562334,-0.6583077631783858,40.24394356732692,0.653632717285
1209.0,-1.9187797756933378,6.736851899707432,-0.6582106634294829,40.247318485760225,0.653631276769
