CBF,CCO,CMRO2,Dpsi,H,HHb,HbO2,HbT,J_O2,L,O2,O2c,P_a,Pa_CO2,R_Hi,SaO2sup,TOI,Vmca,XOv,a,bred,eta,f1,f2,f3,mu,r,t,u,v_c,v_o,v_p,v_u
0.01233384818513668,-0.004753880892151646,0.03397340269050337,144.9633602009618,0.00003981174636728186,24.303106888030086,66.7967745912707,91.09988147930079,0.03397417952972379,10.141293711433827,0.02371427976514326,0.06407324127046111,97.8976486546,40,240267.85298559695,0.96,73.32257024554735,61.6692409256834,5.981451782818929,0.06560068834489326,0.0014179518790778084,-0.0839985231806551,0.5070648806222129,0.5070656056368961,0.5070657117985578,-0.041974584304393756,0.01874100523239705,399,1,40,0.06413577305268287,98.04788372286718,1
0.012301832668398512,-0.005694911908096664,0.03396816936167537,144.95610333405457,0.000039811950239673645,24.35356374190532,66.73547219095505,91.08903593286037,0.03396946438726373,10.139717757229132,0.023658203988950625,0.06401156423308509,97.7428821335,40,240266.62260171142,0.96,73.26400099364783,61.50916334199256,5.9746663593878795,0.0655866431058493,0.0014200090199053357,-0.08636008624150882,0.5069862128851116,0.5069874248298376,0.5069876024130652,-0.04315322649171515,0.01873655705687627,400,1,40,0.06412933122499936,97.99259631445638,1
0.012304646089727917,-0.005610261725299173,0.033968635456269575,144.95675678644602,0.00003981193188172373,24.34929558253407,66.74591242208635,91.09520800462042,0.03396982571813677,10.139859657525307,0.023663240663884668,0.06401703014395646,97.7136634504,40,240266.7333926773,0.96,73.2704978495696,61.52323044863958,5.9752683650201,0.06558790654141344,0.0014198238818464502,-0.0885211655504401,0.5069932824991469,0.5069943959162666,0.5069945590487996,-0.04423170325642399,0.01873908859023775,401,1,40,0.0641233815669262,97.94203436426089,1
0.012303197999355812,-0.005651231106471352,0.03396840320411362,144.95644153923502,0.000039811940738209536,24.351727225308082,66.74738934335303,91.09911656866112,0.033969560379853624,10.139791199890858,0.023660801259020973,0.06401427553567347,97.6705798645,40,240266.67994342174,0.96,73.26897543846732,61.51598999677906,5.974964991658447,0.06558729505811237,0.0014199134513395457,-0.09062373034000776,0.5069898511263848,0.5069909328179953,0.5069910925987108,-0.04528087970329225,0.018740691547744368,402,1,40,0.06411761608985053,97.8928280115328,1
0.012285354657208685,-0.006176542968905088,0.033965474283830795,144.95239100390998,0.000039812054533309506,24.380038573727987,66.7157855751553,91.09582414888328,0.03396689169521622,10.138911637844428,0.023629558236443395,0.06397986230142215,97.5616907224,40,240265.99318734862,0.96,73.23693066996985,61.42677328604343,5.971172585630313,0.06557945458255365,0.0014210624377192977,-0.09319247633984384,0.5069459371890512,0.5069473730072867,0.5069473773706088,-0.046562544035475106,0.018739341288835958,403,1,40,0.06411041536618325,97.83280300450325,1
0.01225713604374895,-0.00701118053947658,0.033960836560713095,144.94595511182507,0.00003981223534282603,24.42493081915785,66.66408898074582,91.08901979990367,0.03396267727610696,10.137514230643736,0.02358002600796061,0.06392532363625857,97.402415209,40,240264.90200574434,0.96,73.18564754257716,61.28568021874475,5.965150663045104,0.06556699730538094,0.0014228891522513661,-0.0965376152353955,0.5068761753304947,0.5068779040126445,0.5068781576225835,-0.04823135571306751,0.018736550439343955,404,1,40,0.06410077855455232,97.75478693292047,1
0.01230055054372504,-0.005723401566858258,0.03396798652588931,144.955887353047,0.00003981195630751402,24.35646567382838,66.75836929715462,91.114834970983,0.03396899090272218,10.139670856266488,0.023656503015709446,0.06400930079315154,97.5217079459,40,240266.58598208058,0.96,73.26838633732356,61.502752718625196,5.974417030001459,0.06558621788706182,0.0014200712037884733,-0.09834438372523474,0.5069837955475035,0.5069847356933321,0.506984873520736,-0.049132598934394325,0.01874713650339851,405,1,40,0.06409576619102578,97.71253688047274,1
0.012224434449174154,-0.007980961234542977,0.03395543757496619,144.93847806238233,0.000039812445403540836,24.477341185212154,66.60833702589858,91.08567821111073,0.03395770889291394,10.13589095738423,0.023522622262335854,0.06386201779707905,97.1804855269,40,240263.63430626047,0.96,73.12712419126899,61.12217224587077,5.9581447924309705,0.06555252296664861,0.0014250132138619212,-0.10248169812606756,0.5067951214042362,0.5067972614770033,0.506797575745764,-0.051196049701476266,0.018735179712014095,406,1,40,0.06408376686183431,97.6160923322925,1
0.012259481861857147,-0.0069346361428975906,0.03396124390276898,144.9465481529629,0.00003981221868194315,24.421861612172123,66.68774400306955,91.10960561524168,0.03396281428848138,10.137642989422211,0.023584559494478387,0.06393001988394442,97.2521106883,40,240265.0025534101,0.96,73.19507482525356,61.29740930928573,5.965669681658337,0.06556813975906123,0.0014227214812124818,-0.10531276138102902,0.5068825456827997,0.506884020915753,0.5068842373547608,-0.05260776792070878,0.018744992576883637,407,1,40,0.06407552858949822,97.55011365380065,1
0.01218796925320517,-0.009067719133180663,0.03394938703895682,144.93009945059217,0.00003981268079410391,24.536190561948985,66.54833691322145,91.08452747517043,0.033952122571458826,10.13407220641397,0.02345848907284945,0.06379124844637597,96.9118941643,40,240262.2137590612,0.96,73.0621750564194,60.93984626602585,5.950292071607709,0.06553630269950476,0.0014273955683129249,-0.1102818699413965,0.5067043034061377,0.5067068892578668,0.5067072692381615,-0.05508511710091628,0.018734707654296922,408,1,40,0.06406086810378535,97.43442408757132,1
