P_a,CCO,t,SaO2sup,Vmca,Pa_CO2,ii
97.2604604,-0.9449075602746132,131.2,0.925849172,77.16354722017581,43.2595042999726,611
92.72092282,-1.0773271602317247,134.4,0.9107652125,70.08883878952835,42.8649047302517,611
89.44654673,-1.1270071935140653,137.6,0.9051722926,67.91402161490319,42.7377048268004,611
88.26972902,-1.092380333540801,140.8,0.9107748701,68.69289400932868,42.7561511766953,611
86.14968761,-1.056942115899027,144.0,0.9199985872,68.09911973214065,42.7517029582853,611
83.33169186,-1.046954571444104,147.2,0.9252892939,66.85521408342252,42.7261525190088,611
82.98261294,-1.0321606653324984,150.4,0.9252857013,68.18362969337595,42.7654108683966,611
86.25813322,-0.9985180675739919,153.6,0.9233067941,72.36658271500292,42.814455595311,611
91.12165659,-0.9625086271901472,156.8,0.9234769521,76.2983544675666,42.730152478045,611
94.32366743,-0.9401900562345259,160.0,0.9279726324,76.64111768138774,42.6242606948976,611
94.02391162,-0.9380253303977633,163.2,0.9347283407,73.57759347901404,42.8574496945012,611
91.55430618,-0.9502724605291448,166.4,0.9383944556,70.65785763273367,43.4213707875936,611
89.1602558,-0.9697488400077473,169.6,0.9366308602,69.47548269927663,43.6206041940136,611
86.78152349,-0.9964706365358511,172.8,0.9339295363,67.99226773773572,42.8232863942316,611
84.60379169,-1.012084218697942,176.0,0.9356725595,65.82816417563447,41.356549740622,611
85.85987465,-0.9823091992725629,179.2,0.9405680304,66.52470862668497,40.2294156351838,611
91.49889728,-0.9300460206300808,182.4,0.9432085985,70.43948089434417,40.1182977671392,611
96.06969005,-0.9212574568395183,185.6,0.9421348678,71.84097492030459,40.9136385542923,611
94.94294559,-0.9582115424222508,188.8,0.9409140469,68.69270323586251,41.9803846522191,611
90.93861704,-0.9833984006267752,192.0,0.9424731552,65.83618489586964,42.6320556211074,611
88.65902369,-0.9651358312822615,195.2,0.9462134856,66.03890271146884,42.6969624803391,611
87.88693932,-0.9341654543173745,198.4,0.950192942,67.32284627715674,42.7568072856668,611
86.89290607,-0.9119205137372903,201.6,0.9531388545,68.29854343754627,43.4533203557619,611
86.23741584,-0.892906911358337,204.8,0.9539135797,69.91476529601687,44.557912991941,611
85.80990549,-0.8916992482297904,208.0,0.9510037777,71.30534510118922,45.1928541496368,611
84.00100166,-0.9283361361769573,211.2,0.9442408161,70.39083251721263,44.9634549642829,611
82.06649243,-0.9734257291262666,214.4,0.9366339431,69.07814719511865,44.3807448181049,611
83.1496442,-0.9741353448951483,217.6,0.9321433286,70.92400271334631,44.1129004777564,611
85.75975833,-0.9522527282662251,220.8,0.9311216386,73.73996582616795,44.2386226771519,611
85.08359211,-0.9644003562276748,224.0,0.9310577263,72.4516065974682,44.3675221604104,611
81.52151698,-0.9959492058133462,227.2,0.9322926791,68.71156738100366,44.2531503071932,611
80.37848928,-0.9750577339758042,230.4,0.9378920072,68.37906333686001,44.1151886459809,611
82.32185164,-0.9113871633672617,233.6,0.946534353,71.10717867520113,44.2585043001122,611
82.11875095,-0.8922740494520986,236.8,0.9520967582,70.69609185725332,44.3817554812419,611
78.18952763,-0.9355871728543048,240.0,0.9526908662,66.17770322600212,43.8053661500135,611
75.88846996,-0.9577811022285914,243.2,0.9531850245,63.99736728562639,42.8823539556232,611
79.26846447,-0.8976620280941545,246.4,0.9562429853,68.34344533694534,43.1571987043246,611
85.64455555,-0.825724999903529,249.6,0.9583973485,75.34611348465485,44.5831512105344,611
90.33718461,-0.8098500020475701,252.8,0.9579164876,77.553623942383,43.8677329327988,611
92.17855238,-0.8651387869437961,256.0,0.9587338817,70.35478717053063,38.6818314060608,611
92.70248342,-1.0215006375966171,259.2,0.9627455859,55.610476042098924,32.6738174849399,611
93.4858836,-1.1834143382165678,262.4,0.9652577193,46.531254086074654,31.9983264166126,611
95.33384264,-1.1166410249086245,265.6,0.9626240962,50.58460074218929,36.9176849225485,611
97.3067683,-0.9904631250150546,268.8,0.9589269001,59.54255504490464,41.4446970441103,611
96.8296501,-0.9510006142573189,272.0,0.9603724132,62.08506819230305,41.6683478691047,611
93.49916822,-0.9665003166440833,275.2,0.9667277304,58.81223117477695,39.9364977522882,611
90.87731035,-0.950154305932668,278.4,0.9725869058,58.25563731079872,39.8791649635988,611
91.18531899,-0.8917047249019767,281.6,0.9748185558,62.056912629536214,41.1279416228412,611
91.71674939,-0.8720472106937056,284.8,0.9748758607,63.65277121223649,40.9949335341092,611
90.79873842,-0.9019222673515249,288.0,0.9748408501,61.09026885483126,39.4331691485279,611
92.21185274,-0.8956054262518867,291.2,0.9746755873,61.62907621980623,39.483455242557,611
97.86359966,-0.8261200169889562,294.4,0.973542639,68.43640717348872,42.2890786728582,611
102.128945,-0.7934878852850805,297.6,0.9713814292,73.00821772818429,44.7378446105979,611
100.5082932,-0.834698273580848,300.8,0.9685770905,69.71322960224144,44.5289618629241,611
97.21121289,-0.8779970958118001,304.0,0.965593489,66.63960633436332,44.0983444878821,611
96.65425284,-0.8572748645825644,307.2,0.9633644984,69.65864247280578,45.5016025797516,611
95.09845689,-0.8503674005889023,310.4,0.9629699119,70.55747322025364,45.6998685190878,611
89.14411825,-0.9144049378060789,313.6,0.9645648246,63.713483748669795,42.5509337405297,611
85.12937574,-0.946500383099809,316.8,0.96710422,60.21540767960912,40.7399267847797,611
90.51024506,-0.8252549941797555,320.0,0.9690225052,70.58348472197778,44.5895198344167,611
100.5705827,-0.718143681849428,323.2,0.9690876047,84.6809359625741,49.2007810387996,611
103.1617285,-0.7391597049906797,326.4,0.967420531,82.26054646451614,46.9811912855697,611
95.934396,-0.909612749426156,329.6,0.9659868964,63.3402893044387,40.1587696563527,611
90.59618466,-1.0348656811737573,332.8,0.9669445019,54.12490891822202,38.1753756300596,611
96.41834912,-0.861817145035222,336.0,0.9699254576,66.46937291488213,43.6589110001276,611
105.9946606,-0.724117009953001,339.2,0.9720114243,82.02872948538682,49.35529922445,611
105.7280992,-0.7356844823441603,342.4,0.9709902016,80.93556096472105,49.6872465979075,611
96.79270626,-0.8270793044951308,345.6,0.9677743855,71.09217148154684,47.7139530599796,611
93.157145,-0.8288019762985869,348.8,0.9652566531,72.03630243434041,48.3857974333302,611
98.8227671,-0.7417773120342673,352.0,0.9656038715,83.21095575111936,51.1517597986161,611
102.2412218,-0.6988783232924465,355.2,0.9688442764,88.15279156471907,52.5490948782592,611
97.05336634,-0.7204895049704125,358.4,0.9732135425,82.03919729196728,51.964097478932,611
92.45382347,-0.7327810709048859,361.6,0.9765289586,78.46815473978103,51.4933626638335,611
96.23263782,-0.6864343108328106,364.8,0.9777945674,84.54579060855873,52.1828989000149,611
102.3095463,-0.6498908522181599,368.0,0.9777587886,90.81588997908385,53.0355948726999,611
103.1789111,-0.6584513239841049,371.2,0.9776696363,89.33318729906082,53.1794986202076,611
101.5012626,-0.6774706102918254,374.4,0.9777375,86.05758256825757,53.1754641658338,611
101.2523698,-0.6782362897577618,377.6,0.9775063929,86.10342806225815,53.7005454289657,611
99.63623179,-0.6840285308881817,380.8,0.9773897006,85.26116897976381,54.1509089733256,611
95.59044316,-0.7012353938839763,384.0,0.978517498,81.92047619267734,53.6801249166764,611
94.73956114,-0.6912946685139969,387.2,0.9808974136,81.9974183794095,52.886916209908,611
